"","cell","scenario","scNum","biomass.BC","biomass.BG","biomass.FBP","biomass.ZL","biomass.DC","biomass.CEP1","biomass.CEP2","biomass.FDB","biomass.FDD","biomass.FDC","biomass.FDE","biomass.FDF","biomass.FDM","biomass.FDO","biomass.FDP","biomass.FDS","biomass.BD","biomass.PL","biomass.WDG","biomass.BFD","biomass.BFF","biomass.BFS","biomass.ZG","biomass.DL","biomass.MA","biomass.BMD","biomass.BMS","biomass.BML","biomass.BO","biomass.FMM","biomass.FMN","biomass.MB","biomass.ZS","biomass.PB","biomass.SP","biomass.PS","biomass.PIN","biomass.FVB","biomass.FVD","biomass.FVO","biomass.FVS","biomass.FVT","biomass.FVV","biomass.FPL","biomass.FPO","biomass.FPS","biomass.PWN1","biomass.PWN2","biomass.DR","biomass.REP","biomass.SB","biomass.SG","biomass.BB","biomass.SHB","biomass.SHC","biomass.SHD","biomass.SHP","biomass.SHR","biomass.SSK","biomass.WHB","biomass.WHS","biomass.WHT","biomass.ZM"
"48","C_47","No fishing",1,0.000343023520096532,1.14829241991824e-07,11.0436447779442,2.77531247024578e-07,2.43448442906783e-08,1.5846382077718,0.248603348922875,22.5242385964479,0.54059920984871,740.471693015128,38.9440435223705,8.60802116639716,108.272229308231,11573.1278545027,112.327389140805,895.901410765023,9.25108533538825e-08,358.492613278769,0,10.1842107445533,0.00185957098448418,9.25108533538825e-08,2.77531224920905e-07,1404539564.78764,9.25108533538825e-08,9.25108533538825e-08,7.45674069333386e-07,13082.0460449408,34095.8176113113,389.952659641978,402.984251087027,0.00250278841592024,2.77532069166444e-07,19.282462615528,0.165293790988875,722.716431972625,130.555773466414,1067.95764961095,2416.06019016061,5152.37221287443,172.605246639614,403.51289052459,5926.90353812983,5330.73535562599,12000.0688494812,212.002210938805,2.77531224918733e-07,2.77531224918733e-07,1451044478.64516,0.0786129136658125,0.603644451720693,9.25108533538825e-08,1.02720260980036,13.7906397494529,138.927193629015,441.115201549311,31.3569947062992,17.9641348830705,13.742403079741,0,86.2213185570768,121.783878029571,2.77531224918733e-07
"49","C_48","No fishing",1,1.33564910387729e-06,669.515364074818,30.7739073245297,7.97707472999729e-05,1.07091873647304e-07,37.3724547440519,6.78379783888533,20.4441952109725,0.574940269007805,743.849488997442,49.5048377967448,9.19882790580771,306.8166724322,16871.9536894126,165.875557814332,1001.32346182985,4.06948498877663e-07,997.683767408375,0,24.8147262705987,70.7320836995888,3.57869895892426,1.18184460445225e-06,1442047106.52285,4.06948498877663e-07,4.06948498877663e-07,1379.90728439161,162980.406648821,153493.51239313,930.68757185658,1353.28420525167,1.74801750041936e-05,0.00307421294867481,12.7062430129785,0.16219908694123,4026.16641666582,167.224961831816,1019.75468125069,2945.48928147757,7535.35835462028,401.140910074745,444.741486765578,9479.76946193565,18210.9953343655,10418.7092569765,184.218190299568,0.175193796139083,0.175193796139083,30027656406.3172,0.125183189735315,1.49287118795774,2.38080585736595e-05,23.8431202397534,81.7730054349798,158.869938756136,2266.89174134205,54.0163758915346,35.3048841969471,63.5192652929678,0,110.409782686964,155.815976642849,1.22086749129813e-06
"50","C_49","No fishing",1,14.8399479108787,6969.95323835064,0.137385548316121,7634.50580214763,2.41536352281195e-06,62.2272055253993,6.57040470475786,0.115798284540676,0.445098888583866,426.665506234424,34.5726576191598,4.33039956600846,2.98721135357956,83.369991733028,4.76499362811311,41.6407604833245,2.96532307273127e-06,35199.3709567402,0.000652235460267978,108.238579605611,156.086695507629,224534.749512363,15.1252505524013,1447850344.46934,2.96532307273127e-06,2.96532307273127e-06,126.264312131708,3744.02424698285,153.542277382758,5.11370495098788,808.32028964215,0.000812958743743521,212.430095790182,13.8311086972966,0.000729841224334715,1681005592225.81,1.07864703727637,65.0469529522468,56.4821654041077,62.3328770904399,4.85379713545899,12.2160932155184,70.6581190121589,261.454140613743,117.006925620014,1.5346927999988,5.09539429689329,10.0525469171458,48841095183.4541,0.000515910824834326,6.55582382467555,3.86267075353083e-06,31.6695117683021,0.0777281500730937,0.570748129765951,30.4877296278753,0.325224600358951,0.164336990091633,0.570164455800866,0,1.24788930816325,0.442625657385447,36.6615512001607
"51","C_50","No fishing",1,1.94545900411992e-05,146.915227610859,0.318288850494599,23519.9563827266,1.70654298607011e-06,5134.88791270752,4050.3467658867,0.103438322678698,0.436401623568669,421.049938603917,52.0118464689104,4.63705699714721,3.61177805581318,62.7979959013851,4.80897408647082,42.0596962093584,127.010052817069,145591.489887793,0.0743068260600338,93.3367822297613,0.021110112082862,88805.5552637286,3.86580044530004e-05,570739041.31687,2.09510802169589e-06,3.75345393525054e-06,2269.00188258359,0.0539187824533084,2.69773033291649,15.1132608442301,796.119624756046,0.108122494287439,5742.51439360508,6.93674473904481,0.000735624438870139,3469814825871.63,0.789834610615454,79.3051454960255,55.4799668404604,73.7619329600685,4.93162143900331,7.60400387173193,116.045089922662,261.343888419728,142.666414296841,1.86574451473951,16.7420286502769,25.015617855495,36886135872.5263,0.000475851861610843,0.156541735661515,2.09510802169589e-06,21.8904127974099,0.0694935779393142,1.04490552928843,23.0695556546536,0.330411965633341,0.164408200583534,0.568328923142777,0,1.11568771675991,0.395733774615613,2630.17821359388
"52","C_51","No fishing",1,27.4018335269759,0.0803424405135754,49.9625352593229,47.2627576522017,9.84036979743579e-08,348.901188375737,161.103574409818,14.5121877515158,0.398737611404042,462.424131218334,49.7320887694665,6.6578476584497,55.3039590037671,21766.9884916754,21.3254454281115,143.187716724718,3.73934292299185e-07,2858.37774421946,0.181537697149302,13.9918929952604,0.00872652043159793,0.611594571105157,1.7164160897506,1223529923.9473,3.73934292299185e-07,3.73934292299185e-07,1212.85073686366,4795.7301189533,3408.47116169499,539.784781266801,239.876743035345,1.12180215690494e-06,6.95160623631333,16.8356214480558,0.165293789918521,18231.1909106583,140.82468062856,1270.52431741684,874.249412790252,8681.04452620008,193.527257295067,634.583034396426,9509.3167273733,4315.09220996766,12975.3396442285,229.091383623303,0.665978585297776,0.665978585297776,91395970798.7564,0.0942220039861051,1.10978476671542,0.0327559888858293,53.2880241546887,40.0860610223183,176.708921722645,472.649826229693,3.79234615000022,36.5356563004293,1.56375768086813,0,86.2570668225883,121.858203708742,1.1218021569263e-06
"53","C_52","No fishing",1,6.0288629304617e-05,295.742247540278,0.0794225763354388,92031.4492643735,5.28847625479096e-06,6210.96951977205,4073.9809641807,0.0986442084509099,0.383608296786294,386.013277902216,25.4524493448754,3.27683977910991,3.02895416912509,35.6493730507772,0.00714986899437515,1.72042500904413,1714.16628196827,364723.440296463,0,120.887891481077,56439.6293491172,2165.5870655778,210.251000409432,5179153298.44795,3.48777237798555e-06,49011.9374728464,0.0184253519113012,0.173425261577922,18.0141717438155,4.07850505388964,155.446564506036,23.8829401416206,111619.022200082,259.005208880295,0.000572183476086138,2995830237144.02,0,50.9687607417332,11.9913076876663,61.0767400916865,1.46574481911058,0.542011370392665,80.7776999275007,0.0682045898989887,116.358840179846,1.73327283513323,54.0898625640728,375.27450580015,572631029397.046,0.00146506891884902,0.246912619269057,3.48777237798555e-06,127.918710891432,1.30201369091589,0.149254058458067,20.0787395628031,0.00816258111613681,0.133509991261172,0,0,0.679571842820058,0.324581751714393,22892.5226675757
"54","C_53","No fishing",1,5.8581663723291e-07,0.00520774728832827,5.84723992867181,6.01491956486612e-06,8.08577894686997e-09,0.00670899656089407,0.000623345889605231,14.3085142098231,0.457987475948959,665.091192805558,34.1160272649176,6.39336664842957,228.725788786272,3775.1233290129,117.878184862174,873.517025616191,3.0725817822572e-08,3.71652330151831,0,1.92873696783461,23.1486885865212,3.0725817822572e-08,2.87142367494468e-07,319366445.600327,4.23211065208612e-08,3.0725817822572e-08,17511.6269405478,36299.9552145314,2.64605541967471e-06,1986.29398245397,593.091318599239,9.42685665830516e-08,42.7938858596089,1.09428863771772,0.18240565677796,18.7299704596247,325.5998502869,422.769290367831,1964.81611362884,1126.15875850558,136.252910506668,26.0092683772733,3800.80823870119,3874.94293637647,4352.42948295743,90.6341575420727,9.21778799942118e-08,9.21778799942118e-08,1964275081.65974,1.92457182277741,8.28338777880865,3.0725817822572e-08,1.26552284068829,14.8685311055128,144.266463664606,476.416399487043,18.3416063898895,8.04196858576612,10.0329291887227,0,379.158376404986,530.053630336884,9.21778799942118e-08
"55","C_54","No fishing",1,444.097637946468,0.0129939131578383,11.1095581349847,41937.0902443216,5.0483455942721e-08,17.0251139945362,3.43672880195676,12.6748631352684,0.46060768569977,616.562426991086,31.2690898590752,10.6299314582183,66.7234888243766,21169.3471853656,136.837823845206,969.257455692797,1.9183685145923e-07,855.806812997377,0,2.78572198986723,0.00382430650590574,8.02410755601854e-07,1026.464791709,140601203589.686,1.9183685145923e-07,1.9183685145923e-07,0.000284365471191104,421607.611093934,1.9183685145923e-07,410.190789270718,681.215632377947,1.68926749077905e-05,98.1843002043144,1948.20847386583,0.165293799211913,2098.99672961465,289.378846048039,1275.22616116638,2799.57487744918,7178.34507818629,259.484470452723,501.115852035055,7710.27662158472,7401.37013196023,12134.0449319706,213.569536375463,5.75511397918878e-07,5.75511397918878e-07,320547509.614828,0.0952480855429562,8.80575238354669,1.9183685145923e-07,5.75511397747207e-07,20.3404253001062,162.067529401397,632.167595358699,41.0628668667619,25.7711813832135,18.1419908597623,0,86.2371896105991,121.815019289104,5.75511397918878e-07
"56","C_55","No fishing",1,3.85919596785172e-06,275.992347370624,779.138165591955,1.71391047677435e-06,1.50344863604934e-07,17.4307784572578,2.33428664415138,599.843176999637,7.93364649805115,1318.03655416459,1449.38578055245,154.177958524998,16446.2803160392,9891.96462503829,180.550543735594,972.114609728557,5.71310815295994e-07,719.817193858971,0,35.3321897265505,200.006575044269,87.3918994080572,1.71392973976988e-06,1421640832.44162,5.71310815295994e-07,5.71310815295994e-07,2815.98947540504,293892.609616012,111770.065424125,7533.71586309659,1469.96773876242,1.77771643263054e-05,1.32502823777379e-05,12.22288533637,0.158467220708141,3185.82960264709,236.038881694711,904.643196419409,2862.9913665813,6954.8914239762,396.035860402112,230.15497907905,9799.48339290797,31295.5078804159,8795.65815273874,158.007541026853,0.433845287561205,0.433845287561205,56518980102.8007,0.169361778398252,25.6224105386276,0.000114211340616023,39.0649302990458,81.8579746404908,145.480131146997,4063.69252896869,60.6519246871554,36.7571159473157,93.284953001168,0,139.469338595426,196.598778686595,1.71393144509546e-06
"57","C_56","No fishing",1,0,53.1830288060158,0,4462.11166595562,572172487.506038,177.059675223403,708.184965028596,0,0,0,0,0,0,0,0,0,1090.99926739325,13591.5274864476,0,30.0028947674467,0,528.912295305726,25.3135842290342,2517976441.72217,0,1366.25568903245,0,2756.62363085829,0,0,0,1.8193428583545,4462.11166595562,9.21186257394681,0,39739624985.4876,0,0,0,0,0,0,0,0,0,0,77.4819330524213,21.8023541863025,1144277636.83537,0,0,0,7.67655214495568,0,0,0,0,0,0,0,0,0,555.569398151556
